ID	NAME	PARENT	FILE
83913	Distigma	1732445	246
765902	environmental samples	83913	246
3036	Astasia	1732445	246
186759	Notosolenus	1732445	246
73024	Eutreptiella	86652	246
96907	Eutreptia	86652	246
315794	environmental samples	33682	246
797087	Symbiontida	33682	247
797088	Bihospites	797087	247
563838	Calkinsia	797087	247
490633	unclassified Sarcocystidae	5809	247
1009718	Erapthora	4777	247
554296	Apusozoa	2759	247
1294546	Planomonadidae	554296	247
1291203	Planomonas	1294546	247
1291202	Nutomonas	554296	247
172820	Apusomonadidae	554296	247
1649270	Chelonemonas	172820	248
172821	Amastigomonas	172820	248
1314682	Multimonas	172820	248
41119	Apusomonas	172820	248
877559	Thecamonas	172820	248
1549796	environmental samples	172820	248
1238961	Mantamonadidae	554296	248
1046569	Mantamonas	1238961	248
856888	unclassified Apusozoa	554296	248
696483	environmental samples	554296	248
1237875	Rigifilida	554296	249
238745	Micronuclearia	1237875	249
85705	Ancyromonadidae	554296	249
85706	Ancyromonas	85705	249
31337	Desmarestiales	2870	249
902701	unclassified Desmarestiales	31337	249
31338	Desmarestiaceae	31337	249
62317	Himantothallus	31338	249
66221	Phaeurus	31338	249
31339	Desmarestia	31338	249
62314	Arthrocladiaceae	31337	250
62315	Arthrocladia	62314	250
31331	Heterochordariaceae	2870	250
31332	Analipus	31331	250
1779447	Baobabopsis	4777	250
293273	unclassified Coccidia	5796	250
33859	Synurophyceae	33634	250
98652	Ochromonadales	33859	250
450754	environmental samples	98652	250
328355	unclassified Ochromonadales	98652	250
88165	Ochromonadaceae	98652	251
372997	unclassified Ochromonadaceae	88165	251
88166	Poterioochromonas	88165	251
1841645	Cornospumella	88165	251
341152	environmental samples	88165	251
420624	Rhizochloridales	33859	251
420625	Myxochloridaceae	420624	251
85045	Chlamydomyxa	420625	251
722750	Parmales	33859	251
722751	Triparmaceae	722750	251
722752	Triparma	722751	252
1606623	Unclassified Parmales	722750	252
420622	Synurales	33859	252
859189	environmental samples	420622	252
420616	Synuraceae	420622	252
47572	Chrysodidymus	420616	252
52558	Tessellaria	420616	252
420614	Chrysosphaerella	420616	252
420617	Mallomonadaceae	420622	252
544558	environmental samples	420617	252
2988	Mallomonas	420617	253
2991	Synura	420617	253
587470	Heterogloeales	33859	253
587471	Heterogloeaceae	587470	253
587473	Heterogloea	587471	253
1138869	environmental samples	33859	253
455411	environmental samples	4776	253
2886	Laminariales	2870	253
141908	unclassified Laminariales	2886	253
461265	Aureophycus	141908	253
35120	Lessoniaceae	2886	254
105408	Egregia	35120	254
370578	Pseudolessonia	35120	254
169785	Eckloniopsis	35120	254
105411	Lessonia	35120	254
117815	Eisenia	35120	254
105406	Ecklonia	35120	254
416989	Akkesiphycaceae	2886	254
3021	Akkesiphycus	416989	254
33636	Laminariaceae	2886	254
117522	Nereocystis	33636	255
35121	Macrocystis	33636	255
309357	Saccharina	33636	255
50952	Pelagophycus	33636	255
169789	Cymathaere	33636	255
169777	Arthrothamnus	33636	255
105413	Postelsia	33636	255
33637	Laminaria	33636	255
416988	Costariaceae	2886	255
105403	Agarum	416988	255
2871	Costaria	416988	256
112505	Thalassiophyllum	416988	256
169783	Dictyoneurum	416988	256
3024	Chordaceae	2886	256
45033	Chorda	3024	256
2887	Alariaceae	2886	256
74380	Undaria	2887	256
309361	Pleurophycus	2887	256
2888	Alaria	2887	256
169787	Lessoniopsis	2887	256
169781	Pterygophora	2887	257
416990	Halosiphonaceae	2886	257
64921	Halosiphon	416990	257
105415	Pseudochordaceae	2886	257
74378	Pseudochorda	105415	257
38254	Glaucocystophyceae	2759	257
38262	Gloeochaetales	38254	257
38266	Gloeochaetaceae	38262	257
38268	Gloeochaete	38266	257
321835	environmental samples	38254	257
33678	Cyanophoraceae	38254	258
2761	Cyanophora	33678	258
77921	Cyanoptyche	38254	258
38255	Glaucocystales	38254	258
38257	Glaucocystaceae	38255	258
38258	Glaucocystis	38257	258
3009	Fucales	2870	258
91055	Seirococcaceae	3009	258
112067	Phyllospora	91055	258
91056	Seirococcus	91055	258
339607	Marginariella	91055	259
112069	Cystosphaera	91055	259
97151	Notheiaceae	3009	259
97152	Notheia	97151	259
91050	Durvillaeaceae	3009	259
91051	Durvillaea	91050	259
74476	Himanthaliaceae	3009	259
74477	Himanthalia	74476	259
3014	Sargassaceae	3009	259
127540	Hormophysa	3014	259
97204	Cystophora	3014	260
590121	Landsburgia	3014	260
590123	Nizamuddinia	3014	260
3015	Sargassum	3014	260
1368315	unclassified Sargassum	3015	260
400137	unclassified Sargassaceae	3014	260
717667	Acrocarpia	3014	260
717669	Scaberia	3014	260
74096	Bifurcaria	3014	260
74097	Halidrys	3014	260
74094	Cystoseira	3014	261
235168	Myriodesma	3014	261
112052	Bifurcariopsis	3014	261
1197882	Sargassopsis	3014	261
589434	environmental samples	3014	261
97149	Caulocystis	3014	261
97147	Carpoglossum	3014	261
86656	Turbinaria	3014	261
91045	Anthophycus	3014	261
91047	Axillariella	3014	261
74100	Myagropsis	3014	262
74102	Hizikia	3014	262
74098	Coccophora	3014	262
590102	Carpophyllum	3014	262
590100	Acystis	3014	262
1197251	Phyllotricha	3014	262
1197254	Sirophysalis	3014	262
3010	Fucaceae	3009	262
48071	Pelvetia	3010	262
52968	Ascophyllum	3010	262
93834	Silvetia	3010	263
87158	Pelvetiopsis	3010	263
3011	Fucus	3010	263
87153	Hesperophycus	3010	263
87160	Xiphophora	3010	263
142644	unclassified Fucales	3009	263
87155	Hormosiraceae	3009	263
87156	Hormosira	87155	263
121069	Pythiales	4762	263
944612	Pythiogetonaceae	121069	263
944615	Pythiogeton	944612	264
4782	Pythiaceae	121069	264
4797	Pythium	4782	264
228096	unclassified Pythium	4797	264
127445	Halophytophthora	4782	264
1542445	environmental samples	127445	264
1635158	Pilasporangium	4782	264
1448050	Elongisporangium	4782	264
1448054	Ovatisporangium	4782	264
421926	Diasporangium	4782	264
1448052	Globisporangium	4782	265
637503	unclassified Pythiaceae	4782	265
282456	environmental samples	121069	265
66288	Oxymonadida	2759	265
222438	Streblomastigidae	66288	265
222439	Streblomastix	222438	265
413578	environmental samples	66288	265
97340	Pyrsonymphidae	66288	265
97341	Pyrsonympha	97340	265
321838	environmental samples	97340	265
66289	Dinenympha	97340	266
